Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
olive-green-jacket,Olive Green Jacket,<p>Loose fitting olive green jacket with buttons and large pockets. Multicoloured pattern on the front of the shoulders.</p>,partners-demo,"",women,true,Title,Default Title,,,,,,0.0,,1,deny,manual,65,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/urban-fashion_925x_2835b1a0-3e7c-4d93-8546-ce67bb495850.jpg?v=1620439103,1,,false,,,,,,,,,,,,,,,,,kg,,,active
white-cotton-shirt,White Cotton Shirt,<p>Plain white cotton long sleeved shirt with loose collar. Small buttons and front pocket.</p>,partners-demo,"",women,true,Title,Default Title,,,,,,0.0,,1,deny,manual,30,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/smiling-woman-poses_925x_2ec21c63-4c02-4468-843e-ef3506cc518e.jpg?v=1620439102,1,,false,,,,,,,,,,,,,,,,,kg,,,active
chequered-red-shirt,Chequered Red Shirt,"<p>Classic mens plaid flannel shirt with long sleeves, in chequered style, with two chest pockets.</p>",partners-demo,"",men,true,Title,Default Title,,,,,,0.0,,1,deny,manual,50,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/red-plaid-shirt_925x_a977216e-d464-4d5e-b0ec-8d2624f5e153.jpg?v=1620439099,1,,false,,,,,,,,,,,,,,,,,kg,,,active
longsleeve-cotton-top,Long Sleeve Cotton Top,"<p>Black cotton womens top, with long sleeves, no collar and a thick hem.</p>",partners-demo,"",women,true,Title,Default Title,,,,,,0.0,,1,deny,manual,50,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/woman-outside-brownstone_925x_00e68539-3250-404a-8939-59e2c0af5562.jpg?v=1620439096,1,,false,,,,,,,,,,,,,,,,,kg,,,active
silk-summer-top,Silk Summer Top,<p>Silk womens top with short sleeves and number pattern.</p>,partners-demo,"",women,true,Title,Default Title,,,,,,0.0,,1,deny,manual,70,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/young-hip-woman-at-carnival_925x_ca71c122-bb1a-4939-833f-009dd470d5b5.jpg?v=1620439094,1,,false,,,,,,,,,,,,,,,,,kg,,,active
zipped-jacket,Zipped Jacket,<p>Dark navy and light blue men's zipped waterproof jacket with an outer zipped chestpocket for easy storeage.</p>,partners-demo,"",men,true,Title,Default Title,,,,,,0.0,,1,deny,manual,65,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/menswear-blue-zip-up-jacket_925x_1733f04d-a6c6-4851-9dca-3c12879dc486.jpg?v=1620439092,1,,false,,,,,,,,,,,,,,,,,kg,,,active
black-leather-bag,Black Leather Bag,"<p>Womens black leather bag, with ample space. Can be worn over the shoulder, or remove straps to carry in your hand.</p>",partners-demo,"",women,true,Title,Default Title,,,,,,0.0,,1,deny,manual,30,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/black-bag-over-the-shoulder_925x_6fba3b91-bdba-4c5d-ab00-7153c2509479.jpg?v=1620439089,1,,false,,,,,,,,,,,,,,,,,kg,,,active
dark-winter-jacket,Soft Winter Jacket,"<p>Thick black winter jacket, with soft fleece lining. Perfect for those cold weather days.</p>",partners-demo,"",women,true,Title,Default Title,,,,,,0.0,,1,deny,manual,50,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/smiling-woman-on-snowy-afternoon_925x_25dbd6b4-67b5-4091-98ed-6cddf72fd6c7.jpg?v=1620439088,1,,false,,,,,,,,,,,,,,,,,kg,,,active
navy-sport-jacket,Navy Sports Jacket,"<p>Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.</p>",partners-demo,"",men,true,Title,Default Title,,,,,,0.0,,1,deny,manual,60,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/mens-fall-fashion-jacket_925x_0b44309a-a996-4297-abb4-99ffd5129294.jpg?v=1620439087,1,,false,,,,,,,,,,,,,,,,,kg,,,active
dark-denim-top,Dark Denim Top,"<p>Classic dark denim top with chest pockets, long sleeves with buttoned cuffs, and a ripped hem effect.</p>",partners-demo,"",women,true,Title,Default Title,,,,,,0.0,,1,deny,manual,60,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/young-female-models-denim_925x_3b4773cf-09b9-43c6-b459-934dad363186.jpg?v=1620439085,1,,false,,,,,,,,,,,,,,,,,kg,,,active
classic-leather-jacket,Classic Leather Jacket,"<p>Womans zipped leather jacket. Adjustable belt for a comfortable fit, complete with shoulder pads and front zip pocket.</p>",partners-demo,"",women,true,Title,Default Title,,,,,,0.0,,1,deny,manual,80,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/leather-jacket-and-tea_925x_958bc88a-c8b9-44aa-b57e-4f12af8fe381.jpg?v=1620439084,1,,false,,,,,,,,,,,,,,,,,kg,,,active
striped-silk-blouse,Striped Silk Blouse,<p>Ultra-stylish black and red striped silk blouse with buckle collar and matching button pants.</p>,partners-demo,"",women,true,Title,Default Title,,,,,,0.0,,1,deny,manual,50,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/striped-blouse-fashion_925x_d2854f71-1e0a-47d2-9d99-d1da7e070e32.jpg?v=1620439083,1,,false,,,,,,,,,,,,,,,,,kg,,,active
floral-white-top,Floral White Top,<p>Stylish sleeveless white top with a floral pattern.</p>,partners-demo,"",women,true,Title,Default Title,,,,,,0.0,,1,deny,manual,75,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/city-woman-fashion_925x_2x_f722ed8f-6ee9-423e-abd2-fd26c738a7af.jpg?v=1620439082,1,,false,,,,,,,,,,,,,,,,,kg,,,active
yellow-wool-jumper,Yellow Wool Jumper,<p>Knitted jumper in a soft wool blend with low dropped shoulders and wide sleeves and think cuffs. Perfect for keeping warm during Fall.</p>,partners-demo,"",women,true,Title,Default Title,,,,,,0.0,,1,deny,manual,80,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/autumn-photographer-taking-picture_925x_ece7c15d-30d7-4a45-a8bd-ef232c0f5dfc.jpg?v=1620439080,1,,false,,,,,,,,,,,,,,,,,kg,,,active
classic-varsity-top,Classic Varsity Top,"<p>Womens casual varsity top, This grey and black buttoned top is a sport-inspired piece complete with an embroidered letter.</p>",partners-demo,"",women,true,Size,Small,,,,,,0.0,,1,deny,manual,60,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/casual-fashion-woman_925x_3bf4aafb-9cb1-4574-b57e-eb0cc29732aa.jpg?v=1620439078,1,,false,,,,,,,,,,,,,,,,,kg,,,active
classic-varsity-top,,,,,,,,Medium,,,,,,0.0,,1,deny,manual,60,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,
classic-varsity-top,,,,,,,,Large,,,,,,0.0,,1,deny,manual,60,,true,true,,,,,,,,,,,,,,,,,,,,,,kg,,,
ocean-blue-shirt,Ocean Blue Shirt,<p>Ocean blue cotton shirt with a narrow collar and buttons down the front and long sleeves. Comfortable fit and tiled kalidoscope patterns.</p>,partners-demo,"",men,true,Title,Default Title,,,,,,0.0,,1,deny,manual,50,,true,true,,https://cdn.shopify.com/s/files/1/0553/9063/4153/products/young-man-in-bright-fashion_925x_b493871f-25a0-49de-92de-d6215138c6a4.jpg?v=1620439077,1,,false,,,,,,,,,,,,,,,,,kg,,,active
